LOCATION CODE,SAMPLE TYPE,SAMPLE LOCATION,SAMPLING FREQUENCY,SAMPLING DATE,ISOTOPE NAME,VALUE,UNITS,GRAPH VALUE,COMMENT
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-05-29,TRITIUM (HTO),<60,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-05-29,GROSS BETA,1.4+/-1.4,pCi/L,1.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-04,IODINE-131,<1.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-04,GROSS BETA,4.1+/-0.8,pCi/1000M3,4.1,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-06-04,GROSS ALPHA,<1.9,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-06-04,TRITIUM (HTO),<60,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-06-04,GROSS BETA,1.9+/-1.5,pCi/L,1.9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-10,IODINE-131,<0.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-10,GROSS BETA,6.3+/-1.1,pCi/1000M3,6.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-17,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-17,GROSS BETA,6.5+/-1,pCi/1000M3,6.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-25,IODINE-131,<0.6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-06-25,GROSS BETA,7.5+/-1.1,pCi/1000M3,7.5,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-06-30,GROSS BETA,1.2+/-1.3,pCi/L,1.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-06-30,GROSS ALPHA,<1.1,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-06-30,TRITIUM (HTO),<160,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-02,IODINE-131,<5,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-07-02,TRITIUM (HTO),<150,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-07-02,GROSS BETA,1.4+/-1.4,pCi/L,1.4,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-07-02,GROSS ALPHA,<1.3,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-02,GROSS BETA,3.4+/-0.8,pCi/1000M3,3.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-09,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-09,GROSS BETA,6.5+/-1,pCi/1000M3,6.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-16,IODINE-131,<8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-16,GROSS BETA,10.9+/-1.4,pCi/1000M3,10.9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-23,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-23,GROSS BETA,10.5+/-1.3,pCi/1000M3,10.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-30,IODINE-131,<6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-07-30,GROSS BETA,13.2+/-1.6,pCi/1000M3,13.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-07-31,TRITIUM (HTO),<90,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-07-31,GROSS ALPHA,<1.9,pCi/L,0,
