LOCATION CODE,SAMPLE TYPE,SAMPLE LOCATION,SAMPLING FREQUENCY,SAMPLING DATE,ISOTOPE NAME,VALUE,UNITS,GRAPH VALUE,COMMENT
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2008-12-30,GROSS BETA,20.5+/-1.3,pCi/1000M3      ,20.5,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2008-12-30,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2008-12-31,GROSS BETA,2.3+/-1.4,pCi/L,2.3,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2008-12-31,GROSS ALPHA,5+/-4,pCi/L,5,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2008-12-31,TRITIUM (HTO),<80,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-06,GROSS BETA,16.3+/-1.6,pCi/1000M3      ,16.3,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-06,IODINE-131,<4,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-01-06,GROSS BETA,1.4+/-1.3,pCi/L,1.4,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-01-06,GROSS ALPHA,<1.6,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-01-06,TRITIUM (HTO),<70,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-15,GROSS BETA,12.9+/-1.2,pCi/1000M3      ,12.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-15,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-21,GROSS BETA,11.8+/-1.2,pCi/1000M3      ,11.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-21,IODINE-131,<1.5,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-29,GROSS BETA,18.3+/-1.6,pCi/1000M3      ,18.3,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-01-29,IODINE-131,<2,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-01-30,GROSS BETA,<1.9,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-01-30,GROSS ALPHA,<1.8,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-01-30,TRITIUM (HTO),<110,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-04,GROSS BETA,21+/-2,pCi/1000M3      ,21,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-04,IODINE-131,<6,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-02-04,GROSS BETA,<1.6,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-02-04,GROSS ALPHA,<1.8,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-02-04,TRITIUM (HTO),<120,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-11,GROSS BETA,20.4+/-1.8,pCi/1000M3      ,20.4,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-11,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-18,GROSS BETA,6.8+/-1,pCi/1000M3      ,6.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-18,IODINE-131,<5,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-25,GROSS BETA,12.8+/-1.4,pCi/1000M3      ,12.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-02-25,IODINE-131,<4,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-02-27,GROSS BETA,<0.9,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-02-27,GROSS ALPHA,<1.1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-02-27,TRITIUM (HTO),<110,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-04,GROSS BETA,13.5+/-1.4,pCi/1000M3      ,13.5,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-04,IODINE-131,<5,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-03-04,GROSS BETA,<0.9,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-03-04,GROSS ALPHA,<1.1,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-03-04,TRITIUM (HTO),<170,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-11,GROSS BETA,17.6+/-1.7,pCi/1000M3      ,17.6,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-11,IODINE-131,<1.8,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-19,GROSS BETA,14.9+/-1.4,pCi/1000M3      ,14.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-19,IODINE-131,<3,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-25,GROSS BETA,13.8+/-1.6,pCi/1000M3      ,13.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-03-25,IODINE-131,<5,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-03-31,GROSS BETA,1.8+/-1.4,pCi/L,1.8,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-03-31,GROSS ALPHA,<0.9,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-03-31,TRITIUM (HTO),<150,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-01,GROSS BETA,8.8+/-1.2,pCi/1000M3      ,8.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-01,IODINE-131,<2,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-04-01,GROSS BETA,<0.9,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-04-01,GROSS ALPHA,<2,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-04-01,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-08,GROSS BETA,5.7+/-1,pCi/1000M3      ,5.7,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-08,IODINE-131,<3,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-15,GROSS BETA,12.5+/-1.4,pCi/1000M3      ,12.5,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-15,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-29,GROSS BETA,12.2+/-1,pCi/1000M3      ,12.2,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-04-29,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-04-30,GROSS BETA,<0.6,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-04-30,GROSS ALPHA,<0.5,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-04-30,TRITIUM (HTO),<110,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-13,GROSS BETA,8.4+/-0.8,pCi/1000M3      ,8.4,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-13,IODINE-131,<3,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-05-13,GROSS BETA,<1,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-05-13,GROSS ALPHA,<0.7,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-05-13,TRITIUM (HTO),<110,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-20,GROSS BETA,9.7+/-1.3,pCi/1000M3      ,9.7,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-20,IODINE-131,<3,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-27,GROSS BETA,11.9+/-1.4,pCi/1000M3      ,11.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-05-27,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-05-29,GROSS BETA,<1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-05-29,GROSS ALPHA,<1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-05-29,TRITIUM (HTO),<120,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-02,GROSS BETA,5.8+/-1.1,pCi/1000M3      ,5.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-02,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-10,GROSS BETA,8.8+/-1.1,pCi/1000M3      ,8.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-10,IODINE-131,<2,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-06-10,GROSS BETA,<1.3,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-06-10,GROSS ALPHA,<2,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-06-10,TRITIUM (HTO),<110,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-17,GROSS BETA,7.6+/-1.1,pCi/1000M3      ,7.6,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-17,IODINE-131,<2,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-24,GROSS BETA,4.2+/-1,pCi/1000M3      ,4.2,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-06-24,IODINE-131,<2,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-06-30,GROSS BETA,<1.1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-06-30,GROSS ALPHA,<1.6,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-06-30,TRITIUM (HTO),<80,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-01,GROSS BETA,8.8+/-1.3,pCi/1000M3      ,8.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-01,IODINE-131,<5,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-07-01,GROSS BETA,<1.1,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-07-01,GROSS ALPHA,<1.4,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-07-01,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-14,GROSS BETA,6.2+/-0.8,pCi/1000M3      ,6.2,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-14,IODINE-131,<2,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-23,GROSS BETA,9.2+/-1.1,pCi/1000M3      ,9.2,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-23,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-29,GROSS BETA,13.8+/-1.6,pCi/1000M3      ,13.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-07-29,IODINE-131,NE        ,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-07-31,GROSS BETA,2.5+/-1.6,pCi/L,2.5,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-07-31,GROSS ALPHA,<1.9,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-07-31,TRITIUM (HTO),<130,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-05,GROSS BETA,12.9+/-1.5,pCi/1000M3      ,12.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-05,IODINE-131,<4,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-08-05,GROSS BETA,<1.3,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-08-05,GROSS ALPHA,<0.7,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-08-05,TRITIUM (HTO),<130,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-12,GROSS BETA,10+/-1.3,pCi/1000M3      ,10,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-12,IODINE-131,<3,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-20,GROSS BETA,21.7+/-1.8,pCi/1000M3      ,21.7,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-20,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-26,GROSS BETA,12.6+/-1.6,pCi/1000M3      ,12.6,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-08-26,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-08-28,GROSS BETA,1.5+/-1.4,pCi/L,1.5,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-08-28,GROSS ALPHA,<1.2,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-08-28,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-02,GROSS BETA,7.8+/-1.2,pCi/1000M3      ,7.8,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-02,IODINE-131,<6,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-09-02,GROSS BETA,<1,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-09-02,GROSS ALPHA,<0.9,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-09-02,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-09,GROSS BETA,14.3+/-1.6,pCi/1000M3      ,14.3,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-09,IODINE-131,<5,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-16,GROSS BETA,11.1+/-1.4,pCi/1000M3      ,11.1,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-16,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-23,GROSS BETA,9.5+/-1.2,pCi/1000M3      ,9.5,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-23,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-09-30,GROSS BETA,1.8+/-1.5,pCi/L,1.8,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-09-30,GROSS ALPHA,<1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-09-30,TRITIUM (HTO),<70,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-30,GROSS BETA,7.7+/-1.1,pCi/1000M3      ,7.7,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-09-30,IODINE-131,<3,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-08,GROSS BETA,5.9+/-0.9,pCi/1000M3      ,5.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-08,IODINE-131,<4,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-10-08,GROSS BETA,1.7+/-1.4,pCi/L,1.7,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-10-08,GROSS ALPHA,<1.2,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-10-08,TRITIUM (HTO),<70,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-15,GROSS BETA,8.1+/-1.1,pCi/1000M3      ,8.1,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-15,IODINE-131,<5,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-21,GROSS BETA,10.3+/-1.4,pCi/1000M3      ,10.3,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-21,IODINE-131,<7,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-28,GROSS BETA,9.6+/-1.3,pCi/1000M3      ,9.6,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-10-28,IODINE-131,<3,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-10-30,GROSS BETA,4+/-1.7,pCi/L,4,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-10-30,GROSS ALPHA,<1.5,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-10-30,TRITIUM (HTO),<80,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-04,GROSS BETA,5.9+/-1,pCi/1000M3      ,5.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-04,IODINE-131,<2,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-11-04,GROSS BETA,<1.2,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-11-04,GROSS ALPHA,<1.6,pCi/L,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-11-04,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-10,GROSS BETA,14.1+/-1.7,pCi/1000M3      ,14.1,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-10,IODINE-131,<7,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-18,GROSS BETA,8.1+/-1,pCi/1000M3      ,8.1,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-18,IODINE-131,<4,pCi/1000M3      ,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-24,GROSS BETA,19.3+/-1.9,pCi/1000M3      ,19.3,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-11-24,IODINE-131,<5,pCi/1000M3      ,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-11-30,GROSS BETA,<1.1,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-11-30,GROSS ALPHA,<1.4,pCi/L,0,
    0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2009-11-30,TRITIUM (HTO),<90,pCi/L,0,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-12-02,GROSS BETA,8.9+/-1,pCi/1000M3      ,8.9,
    4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2009-12-02,IODINE-131,<3,pCi/1000M3      ,0,
    4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2009-12-02,GROSS BETA,<1.3,pCi/L,0,
